,Name,Genre,Director,Cast
89,Singin' in the Rain,Comedy/Musical/Romance,Stanley Donen,Gene Kelly/Donald O'Connor
90,Star Wars: Episode VI - Return of the Jedi,Action/Adventure/Fantasy,Richard Marquand,Mark Hamill/Harrison Ford
91,The Treasure of the Sierra Madre,Adventure/Drama/Western,John Huston,Humphrey Bogart/Walter Huston
92,Reservoir Dogs,Crime/Drama/Thriller,Quentin Tarantino,Harvey Keitel/Tim Roth
93,Yojimbo,Action/Drama/Thriller,Akira Kurosawa,Toshirô Mifune/Eijirô Tôno
94,Rashomon,Crime/Drama/Mystery,Akira Kurosawa,Toshirô Mifune/Machiko Kyô
95,The Sting,Comedy/Crime/Drama,George Roy Hill,Paul Newman/Robert Redford
96,The Third Man,Film-Noir/Mystery/Thriller,Carol Reed,Orson Welles/Joseph Cotten
97,Ikiru,Drama,Akira Kurosawa,Takashi Shimura/Nobuo Kaneko
98,The Apartment,Comedy/Drama/Romance,Billy Wilder,Jack Lemmon/Shirley MacLaine
99,Lagaan: Once Upon a Time in India (2001),Adventure/Drama/Musical,Ashutosh Gowariker,Aamir Khan/Gracy Singh
100,Monty Python and the Holy Grail,Adventure/Comedy/Fantasy,Terry Gilliam,Graham Chapman/John Cleese
101,Amadeus,Biography/Drama/History,Milos Forman,F. Murray Abraham/Tom Hulce
102,Some Like It Hot,Comedy/Romance,Billy Wilder,Marilyn Monroe/Tony Curtis
103,Full Metal Jacket,Drama/War,Stanley Kubrick,Matthew Modine/R. Lee Ermey
104,Mr. Smith Goes to Washington,Comedy/Drama,Frank Capra,James Stewart/Jean Arthur
105,Metropolis,Drama/Sci-Fi,Fritz Lang,Brigitte Helm/Alfred Abel
106,For a Few Dollars More,Western,Sergio Leone,Clint Eastwood/Lee Van Cleef
107,Snatch. (2000),Comedy/Crime,Guy Ritchie,Jason Statham/Brad Pitt
108,The General,Action/Adventure/Comedy,Clyde Bruckman,Buster Keaton/Marion Mack
109,L.A. Confidential,Crime/Drama/Mystery,Curtis Hanson,Kevin Spacey/Russell Crowe
110,Batman Begins,Action/Adventure,Christopher Nolan,Christian Bale/Michael Caine
111,Barfi!,Adventure/Comedy/Drama,Anurag Basu,Ranbir Kapoor/Priyanka Chopra
112,Wild Strawberries,Drama/Romance,Ingmar Bergman,Victor Sjöström/Bibi Andersson
113,2001: A Space Odyssey,Adventure/Mystery/Sci-Fi,Stanley Kubrick,Keir Dullea/Gary Lockwood
114,Raging Bull,Biography/Drama/Sport,Martin Scorsese,Robert De Niro/Cathy Moriarty
115,On the Waterfront,Crime/Drama/Thriller,Elia Kazan,Marlon Brando/Karl Malden
116,Rush,Action/Biography/Drama,Ron Howard,Daniel Brühl/Chris Hemsworth
117,Inglourious Basterds,Adventure/Drama/War,Quentin Tarantino,Brad Pitt/Diane Kruger
118,Chinatown,Drama/Mystery/Thriller,Roman Polanski,Jack Nicholson/Faye Dunaway
119,Indiana Jones and the Last Crusade,Action/Adventure/Fantasy,Steven Spielberg,Harrison Ford/Sean Connery
120,Unforgiven,Drama/Western,Clint Eastwood,Clint Eastwood/Gene Hackman
121,The Hunt,Drama,Thomas Vinterberg,Mads Mikkelsen/Thomas Bo Larsen
122,The Great Escape,Adventure/Drama/History,John Sturges,Steve McQueen/James Garner
123,Ran,Action/Drama,Akira Kurosawa,Tatsuya Nakadai/Akira Terao
124,Downfall,Biography/Drama/History,Oliver Hirschbiegel,Bruno Ganz/Alexandra Maria Lara
