,Name,Genre,Director,Cast
585,Malcolm X,Biography/Drama/History,Spike Lee,Denzel Washington/Angela Bassett
586,Saw,Horror/Mystery/Thriller,James Wan,Cary Elwes/Leigh Whannell
587,Fearless,Action/Biography/Drama,Ronny Yu,Jet Li/Li Sun
588,Billy Elliot,Drama/Music/Romance,Stephen Daldry,Jamie Bell/Julie Walters
589,This Is England,Crime/Drama,Shane Meadows,Thomas Turgoose/Stephen Graham
590,Lolita,Drama/Romance,Adrian Lyne,Jeremy Irons/Dominique Swain
591,Dangerous Liaisons,Drama/Romance,Stephen Frears,Glenn Close/John Malkovich
592,"Kiss Kiss, Bang Bang",Comedy/Crime/Mystery,Shane Black,Robert Downey Jr./Val Kilmer
593,La Vie en Rose,Biography/Drama/Music,Olivier Dahan,Marion Cotillard/Sylvie Testud
594,Where Eagles Dare,Action/Adventure/War,Brian G. Hutton,Richard Burton/Clint Eastwood
595,Eastern Promises,Crime/Mystery/Thriller,David Cronenberg,Naomi Watts/Viggo Mortensen
596,Whale Rider,Drama/Family,Niki Caro,Keisha Castle-Hughes/Rawiri Paratene
597,Dazed and Confused,Comedy,Richard Linklater,Jason London/Wiley Wiggins
598,Midnight in Paris,Comedy/Fantasy/Romance,Woody Allen,Owen Wilson/Rachel McAdams
599,Despicable Me,Animation/Adventure/Comedy,Pierre Coffin,Steve Carell/Jason Segel
600,Coraline,Animation/Family/Fantasy,Henry Selick,Dakota Fanning/Teri Hatcher
601,Philadelphia,Drama,Jonathan Demme,Tom Hanks/Denzel Washington
602,Moulin Rouge!,Drama/Musical/Romance,Baz Luhrmann,Nicole Kidman/Ewan McGregor
603,Training Day,Crime/Drama/Thriller,Antoine Fuqua,Denzel Washington/Ethan Hawke
604,American Hustle,Crime/Drama,David O. Russell,Christian Bale/Amy Adams
605,Primal Fear,Crime/Drama/Mystery,Gregory Hoblit,Richard Gere/Laura Linney
606,MASH,Comedy/Drama/War,Robert Altman,Donald Sutherland/Elliott Gould
607,Titanic,Drama/Romance,James Cameron,Leonardo DiCaprio/Kate Winslet
608,Lady Vengeance,Crime/Drama,Chan-wook Park,Yeong-ae Lee/Min-sik Choi
609,127 Hours,Adventure/Biography/Drama,Danny Boyle,James Franco/Amber Tamblyn
610,The Wicker Man,Horror/Mystery/Thriller,Neil LaBute,Nicolas Cage/Ellen Burstyn
611,Harry Potter and the Deathly Hallows: Part 1,Adventure/Family/Fantasy,David Yates,Daniel Radcliffe/Emma Watson
612,Cell 211,Action/Drama/Thriller,Daniel Monzón,Luis Tosar/Alberto Ammann
613,The Player (1992),Comedy/Crime/Drama,Robert Altman,Tim Robbins/Greta Scacchi
614,Milk,Biography/Drama/History,Gus Van Sant,Sean Penn/Josh Brolin
615,After Hours,Comedy/Crime/Drama,Martin Scorsese,Griffin Dunne/Rosanna Arquette
616,Stranger Than Fiction,Comedy/Drama/Fantasy,Marc Forster,Will Ferrell/Emma Thompson
617,The Secret World of Arrietty,Animation/Adventure/Family,Hiromasa Yonebayashi,Bridgit Mendler/Amy Poehler
618,The Big Blue,Adventure/Romance/Sport,Luc Besson,Jean-Marc Barr/Jean Reno
619,Blow-Up,Crime/Drama/Mystery,Michelangelo Antonioni,David Hemmings/Vanessa Redgrave
620,Traffic,Crime/Drama/Thriller,Steven Soderbergh,Michael Douglas/Benicio Del Toro
621,Cast Away,Adventure/Drama/Romance,Robert Zemeckis,Tom Hanks/Helen Hunt
622,United 93,Drama/History/Thriller,Paul Greengrass,David Alan Basche/Olivia Thirlby
623,End of Watch,Crime/Drama/Thriller,David Ayer,Jake Gyllenhaal/Michael Peña
624,Spellbound (1945),Film-Noir/Mystery/Romance,Alfred Hitchcock,Ingrid Bergman/Gregory Peck
625,Lost Highway,Mystery/Thriller,David Lynch,Bill Pullman/Patricia Arquette
626,Who Framed Roger Rabbit,Animation/Adventure/Comedy,Robert Zemeckis,Bob Hoskins/Christopher Lloyd
627,Thank You for Smoking,Comedy/Drama,Jason Reitman,Aaron Eckhart/Cameron Bright
628,The Muppet Christmas Carol,Comedy/Drama/Family,Brian Henson,Michael Caine/Dave Goelz
629,Minority Report,Action/Mystery/Sci-Fi,Steven Spielberg,Tom Cruise/Colin Farrell
630,Zodiac,Crime/Drama/History,David Fincher,Jake Gyllenhaal/Robert Downey Jr.
631,Y Tu Mamá También,Adventure/Comedy/Drama,Alfonso Cuarón,Maribel Verdú/Gael García Bernal
632,Inside Man,Crime/Drama/Mystery,Spike Lee,Denzel Washington/Clive Owen
633,Superbad,Comedy,Greg Mottola,Michael Cera/Jonah Hill
634,Midnight Express,Crime/Drama/Thriller,Alan Parker,Brad Davis/Irene Miracle
635,Dracula,Fantasy/Horror,Francis Ford Coppola,Gary Oldman/Winona Ryder
636,Garden State,Comedy/Drama/Romance,Zach Braff,Zach Braff/Peter Sarsgaard
637,The Flowers of War,Drama/History/Romance,Yimou Zhang,Christian Bale/Ni Ni
638,West Side Story,Crime/Drama/Musical,Jerome Robbins,Natalie Wood/George Chakiris
639,Munich,Drama/Thriller,Steven Spielberg,Eric Bana/Daniel Craig
640,The Legend of Drunken Master,Action/Comedy,Chia-Liang Liu,Jackie Chan/Ho-Sung Pak
641,National Lampoon's Animal House,Comedy,John Landis,John Belushi/Karen Allen
642,High Plains Drifter,Mystery/Western,Clint Eastwood,Clint Eastwood/Verna Bloom
643,28 Days Later,Drama/Horror/Sci-Fi,Danny Boyle,Cillian Murphy/Naomie Harris
644,Kelly's Heroes,Adventure/Comedy/War,Brian G. Hutton,Clint Eastwood/Telly Savalas
645,The Kite Runner,Drama,Marc Forster,Khalid Abdalla/Ahmad Khan Mahmoodzada
646,House of Sand and Fog,Drama,Vadim Perelman,Jennifer Connelly/Ben Kingsley
647,The Illusionist,Drama/Mystery/Romance,Neil Burger,Edward Norton/Jessica Biel
648,Seven Pounds,Drama/Romance,Gabriele Muccino,Will Smith/Rosario Dawson
649,The Last Temptation of Christ,Drama,Martin Scorsese,Willem Dafoe/Harvey Keitel
650,First Blood,Action/Adventure/Drama,Ted Kotcheff,Sylvester Stallone/Brian Dennehy
651,Lord of War,Crime/Drama/Thriller,Andrew Niccol,Nicolas Cage/Ethan Hawke
652,Watchmen - DieWächter,Action/Drama/Mystery,Zack Snyder,Jackie Earle Haley/Patrick Wilson
653,The Godfather Part III,Crime/Drama,Francis Ford Coppola,Al Pacino/Diane Keaton
654,When Harry Met Sally,Comedy/Drama/Romance,Rob Reiner,Billy Crystal/Meg Ryan
655,Following,Crime/Mystery/Thriller,Christopher Nolan,Jeremy Theobald/Alex Haw
656,Army of Darkness,Comedy/Fantasy/Horror,Sam Raimi,Bruce Campbell/Embeth Davidtz
657,The Hurt Locker,Drama/History/Thriller,Kathryn Bigelow,Jeremy Renner/Anthony Mackie
658,Little Children,Drama/Romance,Todd Field,Kate Winslet/Jennifer Connelly
659,The Fifth Element,Action/Adventure/Sci-Fi,Luc Besson,Bruce Willis/Milla Jovovich
660,The Crow,Action/Drama/Fantasy,Alex Proyas,Brandon Lee/Michael Wincott
661,Zatoichi,Action/Comedy/Crime,Takeshi Kitano,Takeshi Kitano/Tadanobu Asano
662,Kung Fu Panda,Animation/Action/Adventure,Alessandro Carloni,Jack Black/Bryan Cranston
663,The Others,Fantasy/Horror/Thriller,Alejandro Amenábar,Nicole Kidman/Christopher Eccleston
664,The Jungle Book,Adventure/Drama/Family,Jon Favreau,Neel Sethi/Bill Murray
665,Lethal Weapon,Action/Crime/Thriller,Richard Donner,Mel Gibson/Danny Glover
666,13 Assassins,Action/Adventure/Drama,Takashi Miike,Kôji Yakusho/Takayuki Yamada
667,The Skin I Live In,Crime/Drama/Thriller,Pedro Almodóvar,Antonio Banderas/Elena Anaya
668,The Man Who Wasn't There,Crime/Drama,Joel Coen,Billy Bob Thornton/Frances McDormand
669,A Fish Called Wanda,Comedy/Crime,Charles Crichton,John Cleese/Jamie Lee Curtis
670,Fried Green Tomatoes,Drama,Jon Avnet,Kathy Bates/Jessica Tandy
671,Blow,Biography/Crime/Drama,Ted Demme,Johnny Depp/Penélope Cruz
672,A Few Good Men,Drama/Thriller,Rob Reiner,Tom Cruise/Jack Nicholson
673,Dead Alive,Comedy/Fantasy/Horror,Peter Jackson,Timothy Balme/Diana Peñalver
674,Sherlock Holmes,Action/Adventure/Crime,Guy Ritchie,Robert Downey Jr./Jude Law
675,Volver,Comedy/Crime/Drama,Pedro Almodóvar,Penélope Cruz/Carmen Maura
676,The Counterfeiters,Crime/Drama/War,Stefan Ruzowitzky,Karl Markovics/August Diehl
677,Disconnect,Drama/Thriller,Henry Alex Rubin,Jason Bateman/Jonah Bobo
678,The Naked Gun: From the Files of Police Squad!,Comedy/Crime,David Zucker,Leslie Nielsen/Priscilla Presley
679,The Impossible,Drama/Thriller,J.A. Bayona,Naomi Watts/Ewan McGregor
680,I Am Sam,Drama,Jessie Nelson,Sean Penn/Michelle Pfeiffer
681,The Royal Tenenbaums,Comedy/Drama,Wes Anderson,Gene Hackman/Gwyneth Paltrow
682,The Hunt for Red October,Action/Adventure/Thriller,John McTiernan,Sean Connery/Alec Baldwin
683,Juno,Comedy/Drama,Jason Reitman,Ellen Page/Michael Cera
684,The Thin Red Line,Drama/War,Terrence Malick,Jim Caviezel/Sean Penn
685,Funny Games,Crime/Drama/Horror,Michael Haneke,Naomi Watts/Tim Roth
686,Sideways,Adventure/Comedy/Drama,Alexander Payne,Paul Giamatti/Thomas Haden Church
687,American Psycho,Crime/Drama,Mary Harron,Christian Bale/Justin Theroux
688,Hugo,Adventure/Drama/Family,Martin Scorsese,Asa Butterfield/Chloë Grace Moretz
689,"Lust, Caution (2007, Ang Lee)",Drama/Romance/Thriller,Ang Lee,Tony Chiu Wai Leung/Wei Tang
690,Cloud Atlas,Drama/Sci-Fi,Tom Tykwer,Tom Hanks/Halle Berry
691,Escape from Alcatraz,Biography/Crime/Drama,Don Siegel,Clint Eastwood/Patrick McGoohan
692,Hoosiers,Drama/Sport,David Anspaugh,Gene Hackman/Barbara Hershey
693,Mad Max 2: The Road Warrior,Action/Adventure/Sci-Fi,George Miller,Mel Gibson/Bruce Spence
694,Harry Potter and the Goblet of Fire,Adventure/Family/Fantasy,Mike Newell,Daniel Radcliffe/Emma Watson
695,The Guns of Navarone (1961),Action/Adventure/Drama,J. Lee Thompson,David Niven/Gregory Peck
696,Robin Hood (1973),Animation/Adventure/Comedy,Wolfgang Reitherman,Brian Bedford/Phil Harris
697,Equilibrium,Action/Drama/Sci-Fi,Kurt Wimmer,Christian Bale/Sean Bean
698,The Reader,Drama/Romance,Stephen Daldry,Kate Winslet/Ralph Fiennes
699,The Abyss,Adventure/Drama/Sci-Fi,James Cameron,Ed Harris/Mary Elizabeth Mastrantonio
700,Hunger,Biography/Drama,Steve McQueen,Stuart Graham/Laine Megaw
701,The Omen,Horror,Richard Donner,Gregory Peck/Lee Remick
702,Tucker and Dale vs Evil,Comedy/Horror,Eli Craig,Tyler Labine/Alan Tudyk
703,Falling Down,Crime/Drama/Thriller,Joel Schumacher,Michael Douglas/Robert Duvall
704,High Fidelity,Comedy/Drama/Music,Stephen Frears,John Cusack/Iben Hjejle
705,Field of Dreams (1989),Drama/Family/Fantasy,Phil Alden Robinson,Kevin Costner/James Earl Jones
706,The Raid: Redemption,Action/Crime/Thriller,Gareth Evans,Iko Uwais/Ananda George
707,Secondhand Lions,Comedy/Drama/Family,Tim McCanlies,Haley Joel Osment/Michael Caine
708,Ip Man 2: Legend of the Grandmaster,Action/Biography/Drama,Wilson Yip,Donnie Yen/Xiaoming Huang
709,Moneyball,Biography/Drama/Sport,Bennett Miller,Brad Pitt/Robin Wright
710,Leaving Las Vegas,Drama/Romance,Mike Figgis,Nicolas Cage/Elisabeth Shue
711,Dead Man Walking,Crime/Drama,Tim Robbins,Susan Sarandon/Sean Penn
712,Collateral,Crime/Drama/Thriller,Michael Mann,Tom Cruise/Jamie Foxx
713,The Evil Dead,Fantasy/Horror,Sam Raimi,Bruce Campbell/Ellen Sandweiss
714,A Single Man,Drama/Romance,Tom Ford,Colin Firth/Julianne Moore
715,An American Werewolf in London,Comedy/Fantasy/Horror,John Landis,David Naughton/Jenny Agutter
716,The Little Mermaid,Animation/Family/Fantasy,Ron Clements,Jodi Benson/Rene Auberjonois
717,Indiana Jones and the Temple of Doom,Action/Adventure,Steven Spielberg,Harrison Ford/Kate Capshaw
718,The Town,Crime/Drama/Thriller,Ben Affleck,Ben Affleck/Rebecca Hall
719,Of Mice and Men (1992 film),Drama,Gary Sinise,John Malkovich/Gary Sinise
720,Midnight Run,Action/Comedy/Crime,Martin Brest,Robert De Niro/Charles Grodin
721,Apollo 13 (1995),Adventure/Drama/History,Ron Howard,Tom Hanks/Bill Paxton
722,Despicable Me 2,Animation/Adventure/Comedy,Pierre Coffin,Steve Carell/Kristen Wiig
723,Enemy at the Gates,Drama/History/War,Jean-Jacques Annaud,Jude Law/Ed Harris
724,The Assassination of Jesse James by the Coward Robert Ford,Biography/Crime/Drama,Andrew Dominik,Brad Pitt/Casey Affleck
725,Die Hard: With a Vengeance,Action/Adventure/Thriller,John McTiernan,Bruce Willis/Jeremy Irons
726,Boys Don't Cry,Biography/Crime/Drama,Kimberly Peirce,Hilary Swank/Chloë Sevigny
727,The Great Debaters,Biography/Drama/Romance,Denzel Washington,Denzel Washington/Forest Whitaker
728,The Piano,Drama/Music/Romance,Jane Campion,Holly Hunter/Harvey Keitel
729,Interview with the Vampire,Drama/Fantasy/Horror,Neil Jordan,Brad Pitt/Tom Cruise
730,Ghost Dog: The Way of the Samurai,Action/Crime/Drama,Jim Jarmusch,Forest Whitaker/Henry Silva
731,"Planes, Trains and Automobiles",Comedy,John Hughes,Steve Martin/John Candy
732,The Conjuring,Horror/Mystery/Thriller,James Wan,Patrick Wilson/Vera Farmiga
733,Rise of the Planet of the Apes,Action/Drama/Sci-Fi,Rupert Wyatt,James Franco/Andy Serkis
734,Ice Age,Animation/Adventure/Comedy,Chris Wedge,Denis Leary/John Leguizamo
735,Batman,Action/Adventure,Tim Burton,Michael Keaton/Jack Nicholson
736,42,Biography/Drama/Sport,Brian Helgeland,Chadwick Boseman/T.R. Knight
737,House of Flying Daggers,Action/Adventure/Drama,Yimou Zhang,Ziyi Zhang/Takeshi Kaneshiro
738,Headhunters,Crime/Drama/Thriller,Morten Tyldum,Aksel Hennie/Synnøve Macody Lund
739,"Good Night, and Good Luck.",Biography/Drama/History,George Clooney,David Strathairn/George Clooney
740,Pinocchio,Animation/Family/Fantasy,Norman Ferguson,Dickie Jones/Christian Rub
741,The Natural,Drama/Sport,Barry Levinson,Robert Redford/Robert Duvall
742,Tell No One,Crime/Drama/Mystery,Guillaume Canet,François Cluzet/Marie-Josée Croze
743,The Wave,Action/Drama/Thriller,Roar Uthaug,Kristoffer Joner/Ane Dahl Torp
744,The Secret Life of Walter Mitty,Adventure/Comedy/Drama,Ben Stiller,Ben Stiller/Kristen Wiig
745,The Meaning of Life,Comedy/Fantasy/Musical,Terry Jones,John Cleese/Terry Gilliam
746,The Hours,Drama/Romance,Stephen Daldry,Meryl Streep/Nicole Kidman
747,Jacob's Ladder,Drama/Horror/Mystery,Adrian Lyne,Tim Robbins/Elizabeth Peña
748,Thor: The Dark World,Action/Adventure/Fantasy,Alan Taylor,Chris Hemsworth/Natalie Portman
749,Star Trek: First Contact,Action/Adventure/Drama,Jonathan Frakes,Patrick Stewart/Jonathan Frakes
750,Straw Dogs,Crime/Drama/Thriller,Sam Peckinpah,Dustin Hoffman/Susan George
751,August Rush,Drama/Music,Kirsten Sheridan,Freddie Highmore/Keri Russell
752,Elizabeth (1998),Biography/Drama/History,Shekhar Kapur,Cate Blanchett/Geoffrey Rush
753,Reign Over Me,Drama,Mike Binder,Adam Sandler/Don Cheadle
754,American Splendor,Biography/Comedy/Drama,Shari Springer Berman,Paul Giamatti/Shari Springer Berman
755,Life as a House,Drama,Irwin Winkler,Hayden Christensen/Kevin Kline
756,Green Street Hooligans (2005),Crime/Drama/Sport,Lexi Alexander,Elijah Wood/Charlie Hunnam
757,The Fisher King,Comedy/Drama/Fantasy,Terry Gilliam,Jeff Bridges/Robin Williams
758,The Wind That Shakes the Barley,Drama/War,Ken Loach,Cillian Murphy/Pádraic Delaney
759,A Simple Plan,Crime/Drama/Thriller,Sam Raimi,Bill Paxton/Billy Bob Thornton
760,Marathon Man,Crime/Thriller,John Schlesinger,Dustin Hoffman/Laurence Olivier
761,REC,Horror,Jaume Balagueró,Manuela Velasco/Ferran Terraza
762,Scott Pilgrim vs. the World,Action/Comedy/Fantasy,Edgar Wright,Michael Cera/Mary Elizabeth Winstead
763,Rudy,Biography/Drama/Sport,David Anspaugh,Sean Astin/Jon Favreau
764,Jackie Brown,Crime/Thriller,Quentin Tarantino,Pam Grier/Samuel L. Jackson
765,The Orphanage,Drama/Mystery/Thriller,J.A. Bayona,Belén Rueda/Fernando Cayo
766,American Graffiti,Comedy/Drama/Music,George Lucas,Richard Dreyfuss/Ron Howard
767,The Man Who Knew Too Much (1956),Drama/Thriller,Alfred Hitchcock,James Stewart/Doris Day
768,Chaplin,Biography/Comedy/Drama,Richard Attenborough,Robert Downey Jr./Geraldine Chaplin
769,Felon,Crime/Drama,Ric Roman Waugh,Stephen Dorff/Marisol Nichols
770,The Hurricane,Biography/Drama/Sport,Norman Jewison,Denzel Washington/Vicellous Shannon
771,The Ice Storm,Drama,Ang Lee,Kevin Kline/Joan Allen
772,Maria Full of Grace,Crime/Drama,Joshua Marston,Catalina Sandino Moreno/Guilied Lopez
773,The Painted Veil,Drama/Romance,John Curran,Naomi Watts/Edward Norton
774,Doubt,Drama/Mystery,John Patrick Shanley,Meryl Streep/Philip Seymour Hoffman
775,X2: X-Men United,Action/Adventure/Fantasy,Bryan Singer,Patrick Stewart/Hugh Jackman
776,Perfume: The Story of a Murderer,Crime/Drama/Fantasy,Tom Tykwer,Ben Whishaw/Dustin Hoffman
777,Quiz Show,Drama/History,Robert Redford,Ralph Fiennes/John Turturro
778,National Lampoon's Christmas Vacation,Comedy/Family,Jeremiah S. Chechik,Chevy Chase/Beverly D'Angelo
779,Gangs of New York (2002),Crime/Drama,Martin Scorsese,Leonardo DiCaprio/Cameron Diaz
780,Everything is Illuminated,Comedy/Drama,Liev Schreiber,Elijah Wood/Eugene Hutz
781,Sleepers,Crime/Drama/Thriller,Barry Levinson,Robert De Niro/Kevin Bacon
782,Looper,Action/Crime/Drama,Rian Johnson,Joseph Gordon-Levitt/Bruce Willis
783,Three Days of the Condor,Mystery/Thriller,Sydney Pollack,Robert Redford/Faye Dunaway
784,To Catch a Thief,Crime/Mystery/Romance,Alfred Hitchcock,Cary Grant/Grace Kelly
785,The Constant Gardener,Drama/Mystery/Romance,Fernando Meirelles,Ralph Fiennes/Rachel Weisz
786,Miracle,Biography/Drama/History,Gavin O'Connor,Kurt Russell/Patricia Clarkson
787,Rust and Bone,Drama/Romance,Jacques Audiard,Marion Cotillard/Matthias Schoenaerts
788,Pi,Drama/Mystery/Thriller,Darren Aronofsky,Sean Gullette/Mark Margolis
789,Sweeney Todd: The Demon Barber of Fleet Street,Drama/Horror/Musical,Tim Burton,Johnny Depp/Helena Bonham Carter
790,The Life of David Gale,Crime/Drama/Thriller,Alan Parker,Kevin Spacey/Kate Winslet
791,Pleasantville,Comedy/Drama/Fantasy,Gary Ross,Tobey Maguire/Jeff Daniels
792,Best in Show,Comedy,Christopher Guest,Fred Willard/Eugene Levy
793,RoboCop,Action/Crime/Sci-Fi,José Padilha,Joel Kinnaman/Gary Oldman
794,Heavenly Creatures,Biography/Crime/Drama,Peter Jackson,Melanie Lynskey/Kate Winslet
795,A Nightmare on Elm Street,Horror,Wes Craven,Heather Langenkamp/Johnny Depp
796,Menace II Society,Crime/Drama/Thriller,Albert Hughes,Tyrin Turner/Larenz Tate
797,Sherlock Holmes: A Game of Shadows,Action/Adventure/Crime,Guy Ritchie,Robert Downey Jr./Jude Law
798,We Need to Talk About Kevin,Crime/Drama/Mystery,Lynne Ramsay,Tilda Swinton/John C. Reilly
799,Malèna,Comedy/Drama/Romance,Giuseppe Tornatore,Monica Bellucci/Giuseppe Sulfaro
800,The Fly,Drama/Horror/Sci-Fi,David Cronenberg,Jeff Goldblum/Geena Davis
801,A History of Violence,Crime/Drama/Thriller,David Cronenberg,Viggo Mortensen/Maria Bello
802,The Texas Chain Saw Massacre,Horror,Marcus Nispel,Jessica Biel/Jonathan Tucker
803,Mud,Drama,Jeff Nichols,Matthew McConaughey/Tye Sheridan
804,Buffalo '66,Comedy/Crime/Drama,Vincent Gallo,Vincent Gallo/Christina Ricci
805,The Devil's Backbone,Drama/Fantasy/Horror,Guillermo del Toro,Marisa Paredes/Eduardo Noriega
806,Open Range,Drama/Romance/Western,Kevin Costner,Kevin Costner/Robert Duvall
807,The Bridges Of Madison County,Drama/Romance,Clint Eastwood,Clint Eastwood/Meryl Streep
808,Ghost World,Comedy/Drama,Terry Zwigoff,Steve Buscemi/Thora Birch
809,The Three Burials of Melquiades Estrada,Adventure/Crime/Drama,Tommy Lee Jones,Tommy Lee Jones/Barry Pepper
810,Blue Jasmine,Drama,Woody Allen,Cate Blanchett/Alec Baldwin
811,In the Loop,Comedy,Armando Iannucci,Tom Hollander/Peter Capaldi
812,Freedom Writers,Biography/Crime/Drama,Richard LaGravenese,Hilary Swank/Imelda Staunton
813,The Proposition,Crime/Drama/Western,John Hillcoat,Ray Winstone/Guy Pearce
814,Brick,Action/Crime/Drama,Rian Johnson,Joseph Gordon-Levitt/Lukas Haas
815,"The Adventures of Priscilla, Queen of the Desert",Comedy/Music,Stephan Elliott,Hugo Weaving/Guy Pearce
816,Up in the Air,Drama/Romance,Jason Reitman,George Clooney/Vera Farmiga
817,Clerks II,Comedy,Kevin Smith,Brian O'Halloran/Jeff Anderson
818,From Russia with Love (Terence Young),Action/Adventure/Thriller,Terence Young,Sean Connery/Robert Shaw
819,In the Bedroom,Crime/Drama,Todd Field,Tom Wilkinson/Sissy Spacek
820,A Perfect World,Crime/Drama/Thriller,Clint Eastwood,Kevin Costner/Clint Eastwood
821,Witness,Crime/Drama/Romance,Peter Weir,Harrison Ford/Kelly McGillis
822,Babel,Drama,Alejandro G. Iñárritu,Brad Pitt/Cate Blanchett
823,Transamerica,Adventure/Comedy/Drama,Duncan Tucker,Felicity Huffman/Kevin Zegers
824,The Aviator (2004),Biography/Drama,Martin Scorsese,Leonardo DiCaprio/Cate Blanchett
825,Lincoln,Biography/Drama/History,Steven Spielberg,Daniel Day-Lewis/Sally Field
826,The Mission,Adventure/Drama/History,Roland Joffé,Robert De Niro/Jeremy Irons
827,Biutiful,Drama/Romance,Alejandro G. Iñárritu,Javier Bardem/Maricel Álvarez
828,Source Code,Mystery/Sci-Fi/Thriller,Duncan Jones,Jake Gyllenhaal/Michelle Monaghan
829,Total Recall,Action/Adventure/Mystery,Len Wiseman,Colin Farrell/Bokeem Woodbine
830,Say Anything...,Comedy/Drama/Romance,Cameron Crowe,John Cusack/Ione Skye
831,Notes on a Scandal,Crime/Drama/Romance,Richard Eyre,Cate Blanchett/Judi Dench
832,My Cousin Vinny,Comedy,Jonathan Lynn,Joe Pesci/Marisa Tomei
833,2046,Drama/Romance/Sci-Fi,Kar-Wai Wong,Tony Chiu Wai Leung/Ziyi Zhang
834,Across the Universe,Drama/Fantasy/Musical,Julie Taymor,Evan Rachel Wood/Jim Sturgess
835,Legends of the Fall,Drama/Romance/War,Edward Zwick,Brad Pitt/Anthony Hopkins
836,Monsters University,Animation/Adventure/Comedy,Dan Scanlon,Billy Crystal/John Goodman
837,Bullitt,Action/Crime/Mystery,Peter Yates,Steve McQueen/Jacqueline Bisset
838,Running Scared,Action/Crime/Drama,Wayne Kramer,Paul Walker/Cameron Bright
839,Mean Streets,Crime/Drama/Thriller,Martin Scorsese,Robert De Niro/Harvey Keitel
840,Suspiria,Horror/Mystery,Dario Argento,Jessica Harper/Stefania Casini
841,"Crazy, Stupid, Love",Comedy/Drama/Romance,Glenn Ficarra,Steve Carell/Ryan Gosling
842,The Devil's Advocate,Drama/Mystery/Thriller,Taylor Hackford,Keanu Reeves/Al Pacino
843,"Bram Stoker's Dracula (1992, Francis Coppola)",Fantasy/Horror,Francis Ford Coppola,Gary Oldman/Winona Ryder
844,Man on the Moon,Biography/Comedy/Drama,Milos Forman,Jim Carrey/Danny DeVito
845,The Way Way Back,Comedy/Drama,Nat Faxon,Steve Carell/Toni Collette
846,Raising Arizona,Comedy/Crime,Joel Coen,Nicolas Cage/Holly Hunter
847,Much Ado About Nothing,Comedy/Drama/Romance,Joss Whedon,Alexis Denisof/Amy Acker
848,Swingers,Comedy/Drama,Doug Liman,Vince Vaughn/Heather Graham
849,Sleepy Hollow,Fantasy/Horror/Mystery,Tim Burton,Johnny Depp/Christina Ricci
850,Take Shelter,Drama/Thriller,Jeff Nichols,Michael Shannon/Jessica Chastain
851,Bound,Crime/Romance/Thriller,Lana Wachowski,Jennifer Tilly/Gina Gershon
852,Bad Education,Comedy,Elliot Hegarty,Jack Whitehall/Charlie Wernham
853,"Excalibur (1981, John Boorman)",Adventure/Drama/Fantasy,John Boorman,Nigel Terry/Helen Mirren
854,Zero Dark Thirty,Drama/History/Thriller,Kathryn Bigelow,Jessica Chastain/Joel Edgerton
855,Far from Heaven,Drama/Romance,Todd Haynes,Julianne Moore/Dennis Quaid
856,Trading Places,Comedy,John Landis,Eddie Murphy/Dan Aykroyd
857,Labyrinth,Adventure/Family/Fantasy,Jim Henson,David Bowie/Jennifer Connelly
858,The Bucket List,Adventure/Comedy/Drama,Rob Reiner,Jack Nicholson/Morgan Freeman
859,Les Misérables (1998 film),Crime/Drama/History,Bille August,Liam Neeson/Geoffrey Rush
860,Alice in Wonderland (1951),Animation/Adventure/Family,Clyde Geronimi,Kathryn Beaumont/Ed Wynn
861,La Femme Nikita,Action/Thriller,Luc Besson,Anne Parillaud/Marc Duret
862,Mulan,Animation/Adventure/Family,Tony Bancroft,Ming-Na Wen/Eddie Murphy
863,Harry Potter and the Half-Blood Prince,Adventure/Family/Fantasy,David Yates,Daniel Radcliffe/Emma Watson
864,Terms of Endearment,Comedy/Drama,James L. Brooks,Shirley MacLaine/Debra Winger
865,The NeverEnding Story,Adventure/Drama/Family,Wolfgang Petersen,Noah Hathaway/Barret Oliver
866,Driving Miss Daisy,Drama,Bruce Beresford,Morgan Freeman/Jessica Tandy
867,Blue Valentine,Drama/Romance,Derek Cianfrance,Ryan Gosling/Michelle Williams
868,Dirty Pretty Things,Crime/Drama/Thriller,Stephen Frears,Chiwetel Ejiofor/Audrey Tautou
869,Beetlejuice,Comedy/Fantasy,Tim Burton,Alec Baldwin/Geena Davis
870,Pirate Radio,Comedy/Drama/Music,Richard Curtis,Philip Seymour Hoffman/Bill Nighy
871,True Grit,Adventure/Drama/Western,Ethan Coen,Jeff Bridges/Matt Damon
872,A Bridge Too Far,Drama/History/War,Richard Attenborough,Sean Connery/Ryan O'Neal
873,Eraserhead,Fantasy/Horror,David Lynch,Jack Nance/Charlotte Stewart
874,Wonder Boys,Comedy/Drama,Curtis Hanson,Michael Douglas/Tobey Maguire
875,Arizona Dream,Comedy/Drama/Fantasy,Emir Kusturica,Johnny Depp/Jerry Lewis
876,The Queen,Adventure/Comedy/Drama,Vikas Bahl,Kangana Ranaut/Rajkummar Rao
877,Capote (2005),Biography/Crime/Drama,Bennett Miller,Philip Seymour Hoffman/Clifton Collins Jr.
878,Chasing Amy,Comedy/Drama/Romance,Kevin Smith,Ben Affleck/Joey Lauren Adams
879,The English Patient,Drama/Romance/War,Anthony Minghella,Ralph Fiennes/Juliette Binoche
880,Precious,Drama,Lee Daniels,Gabourey Sidibe/Mo'Nique
