,Name,Genre,Director,Cast,Image,Trailer
42,Live by Night (2016),Crime/Drama,Ben Affleck,Ben Affleck/Zoe Saldana,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjMwNTI2NzY2N15BMl5BanBnXkFtZTgwMDc2Njc5OTE@._V1_UY209_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi1218754073?ref_=cs_ov_vi
43,20th Century Women (2016),Comedy/Drama,Mike Mills,Elle Fanning/Alia Shawkat,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkwNDE4NzQwM15BMl5BanBnXkFtZTgwNzQ5Nzg0MDI@._V1_UY209_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi3638605337?ref_=cs_ov_vi
44,Paterson (2016),Comedy/Drama,Jim Jarmusch,Adam Driver/Golshifteh Farahani,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUzODA4Nzk0OF5BMl5BanBnXkFtZTgwNzE1MDIwMDI@._V1_UY209_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi1637856793?ref_=cs_ov_vi
45,American Made (2017),Crime/Thriller,Doug Liman,Tom Cruise/Domhnall Gleeson,"https://images-na.ssl-images-amazon.com/images/M/MV5BZTVlYWQ5ZWEtMGMwNS00M2IyLTljZTAtOTA1MDY3NDI2MDUzXkEyXkFqcGdeQXVyNTg4NDQ4NDY@._V1_UX140_CR0,0,140,209_AL_.jpg",http://www.imdb.com
46,Amityville: The Awakening (2017),Horror/Thriller,Franck Khalfoun,Bella Thorne/Taylor Spreitler,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjQwOTI3Nzk5OV5BMl5BanBnXkFtZTgwMzY3NDMyODE@._V1_UY209_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi895069209?ref_=cs_ov_vi
47,A Monster Calls (2016),Drama/Fantasy,J.A. Bayona,Sigourney Weaver/Felicity Jones,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg1OTA5OTkyNV5BMl5BanBnXkFtZTgwODMwNDU5OTE@._V1_UY209_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi631354905?ref_=cs_ov_vi
48,Geostorm (2017),Action/Sci-Fi/Thriller,Dean Devlin,Katheryn Winnick/Gerard Butler,http://ia.media-imdb.com/images/G/01/imdb/images/nopicture/140x209/film-4001654135._CB527134274_.png,http://www.imdb.com
49,Friday the 13th (2017),Horror,Breck Eisner,,"https://images-na.ssl-images-amazon.com/images/M/MV5BYmU5ODk0NTItNjZhMS00NWU5LWE0N2ItZDllNTdhNmVjNTNlXkEyXkFqcGdeQXVyNTc3MjY3MDM@._V1_UY209_CR1,0,140,209_AL_.jpg",http://www.imdb.com
50,Hidden Figures (2016),Drama,Theodore Melfi,Taraji P. Henson/Octavia Spencer,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjQxOTkxODUyN15BMl5BanBnXkFtZTgwNTU3NTM3OTE@._V1_UY209_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi1564915481?ref_=cs_ov_vi
51,Monster Trucks (2016),Animation/Action/Comedy/Family/Sci-Fi,Chris Wedge,Jane Levy/Lucas Till,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc3NzIwMTk2NV5BMl5BanBnXkFtZTgwNjEzNjYwOTE@._V1_UX140_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi4160992281?ref_=cs_ov_vi
52,xXx: Return of Xander Cage (2017),Action/Adventure/Thriller,D.J. Caruso,Nina Dobrev/Ruby Rose,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjM4NjE2NjE3MF5BMl5BanBnXkFtZTgwNTM4MDk0OTE@._V1_UY209_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi2430711321?ref_=cs_ov_vi
53,Renegades (2017),Action/Thriller,Steven Quale,J.K. Simmons/Sullivan Stapleton,"https://images-na.ssl-images-amazon.com/images/M/MV5BZjUxNTBjYTItNTVmYy00ZDdiLTgxMWUtOTkyNDgzYjc2NDI5XkEyXkFqcGdeQXVyNjg5MzM3MzA@._V1_UY209_CR96,0,140,209_AL_.jpg",http://www.imdb.com
54,Split (2016),Horror/Thriller,M. Night Shyamalan,James McAvoy/Haley Lu Richardson,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTU0OTQ0OTY3OF5BMl5BanBnXkFtZTgwNzE2MDY1OTE@._V1_UX140_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi2851780121?ref_=cs_ov_vi
